lo_que_decimos,lo_que_deberiamos_decir
"Hazlo profesional","Usa tono sobrio, directo y verificable; evita lenguaje promocional y adjetivos vacíos."
"Hazlo más humano","Usa lenguaje natural, adulto y concreto; evita coletillas robóticas y entusiasmo artificial."
"Hazlo breve","Máximo 180 palabras; conserva contexto mínimo, decisión y siguiente paso."
"Hazlo completo","Incluye objetivo, contexto, decisión, riesgos y acción recomendada."
"Hazlo técnico","Usa terminología del dominio y define siglas la primera vez."
"Hazlo claro","Una persona no especialista debe entenderlo sin perder precisión."
"Mejóralo","Mantén intención y datos; elimina ruido, redundancia y ambigüedad."
"Reescríbelo","Cambia redacción, no el sentido, la postura ni los hechos."
"Resume esto","Reduce longitud un 70 % y conserva tesis, evidencias y conclusión."
"Dame ideas","Entrega 10 opciones clasificadas por riesgo, coste y tiempo."
"Sé neutral","Describe posiciones y evidencia sin adoptar tono militante ni ocultar asimetrías relevantes."
"Sé creativo","Genera variaciones originales dentro de límites de marca, audiencia y objetivo."
"Hazlo elegante","Prioriza precisión y ritmo; evita barroquismo, metáforas huecas y latinismos."
"Que suene premium","Sobrio, preciso y seguro; nunca ostentoso ni grandilocuente."
"Que suene cercano","Tuteo opcional, frases cortas y vocabulario cotidiano sin infantilizar."
"Que suene corporativo","Usa registro institucional claro; evita jerga inflada y eufemismos."
"Hazlo persuasivo","Prioriza propuesta de valor y objeciones; no prometas lo no demostrado."
"Hazlo contundente","Formula tesis en la primera línea y sosténla con evidencia."
"Que no suene agresivo","Critica ideas o riesgos sin atribuir intenciones ni usar descalificaciones."
"Hazlo didáctico","Explica de simple a complejo con ejemplos y una estructura progresiva."
"Quiero algo accionable","Cada apartado debe terminar con una decisión o una siguiente acción."
"Ordénalo mejor","Usa esta secuencia: contexto, problema, criterios, opciones, recomendación."
"Ponlo bonito","Mejora estructura visual con títulos, listas cortas y tablas cuando aporten."
"Que sea riguroso","Separa hecho, inferencia y opinión; cita fuentes cuando haya datos externos."
"Compruébalo","Verifica cada dato externo con fuente primaria o márcalo como no verificado."
"Si dudas, rellena","Si falta información, no inventes: enumera vacíos y formula preguntas pendientes."
"Hazlo rápido","Entrega versión funcional en una pasada sin sacrificar exactitud básica."
"Optimízalo","Explica qué variable optimizas y qué coste aceptas a cambio."
"Esto está mal","Indica error exacto, por qué falla y cómo corregirlo."
"No quiero humo","Prohibidos clichés, abstracciones vacías y frases de autoayuda empresarial."
"Pon ejemplos","Incluye al menos 2 ejemplos del dominio y 1 contraejemplo."
"Hazlo estratégico","Explicita objetivo, horizonte temporal, trade-offs y dependencias."
"Que sirva para dirección","Sintetiza impacto, riesgos, coste y decisión requerida."
"Que sirva para operaciones","Define proceso, responsables, entradas, salidas y control de calidad."
"Que sirva para prensa","Titular informativo, entradilla factual y atribución explícita."
"Que sirva para UX","Explica usuario, tarea, fricción, criterio de éxito y copy final."
"Que sirva para legal","No des asesoramiento definitivo; delimita supuesto, norma aplicable y revisión humana."
"Que sirva para salud","No diagnostiques; ofrece información general, señales de alerta y derivación a profesional."
"Hazlo fiel a mi tono","Imita solo rasgos declarados: directo, sobrio, irónico leve; no inventes personalidad."
"Déjalo listo para publicar","Incluye revisión ortográfica, formato final, metadatos y checklist de salida."
